taxonomicName,popularityRating,commonNames
Acalypha adenostachya,,nan
Acalypha alopecuroides,,"Degonfle,Derriere Confle,Rabo De Zorra,Hierba Del Cancer,Petit Mouton,Bonda Pe,Petit Pompon"
Acalypha australis,,nan
Acalypha cardiophylla,,nan
Acalypha chamaedrifolia,,nan
Acalypha evrardii,,nan
Acalypha fruticosa,,nan
Acalypha hederacea,,Yerba De Cancer
Acalypha hispida,,Ekur kuching (cat's tail)
Acalypha hypogaea,,Yerba De Cancer
Acalypha indica,,Lelatang
Acalypha langiana,,nan
Acalypha leptopoda,,nan
Acalypha lindheimeri,,"Yerba Del Cancer,nan"
Acalypha novo-guineensis,,nan
Acalypha phleoides,,Yerba Del Cancer
Acalypha septemloba,,Yerba Del Cancer
Acalypha siamensis,,Teh hutan
Acalypha sp,,nan
Acalypha trukensis,,nan
Acalypha wilkesiana,,nan
Acampe wightiana,,nan
Acanthocereus pitajaya,,nan
Acanthopanax gracilistylus,,nan
Acanthopanax ricinifolium,,Tz'U Ch'Iu Shu
Acanthopanax spinosum,,"Wu Chia P'I Chiu,Wu Chia,Wu Chia P'I"
Acanthospermum australe,,nan
Acanthospermum hispidum,,nan
Acanthospermum humile,,"Mala Mujer,Feuilles Hareng,Dessalines,L'Indigene"
Acanthus ebracteatus,,Daruju
Acanthus ilicifolius,,"Daruju,Lao Shu Le,nan"
Acanthus mollis,,"Ha-Azami,Barenklau,Hierba Carnera,Acanto,Branc Ursine,Ayikulagi,Branche Ursine,Brancorsina,Bereklauw,Bearfoot,Jeruju"
Acanthus sp,,"Acanthus,Branca Ursina,Aakcheroua"
Acer macrophyllum,,nan
Acer negundo,,Isfendan
Acer nikoense,,Megusuri-No-Ki
Acer pensylvanicum,,"Cancer Bush,Polecat Tree"
Acer pseudo-platanus,,"Yalanci Ok Agac,Moscon"
Acer pycnanthum,,Hana-No-Ki
Acer rubrum,,"Kirmizi Isfendan Agaci,Red Maple"
Acer saccharinum,,Tath Isfendan Agaci
Acer spicatum,,nan
Aceratium insulare,,nan
Achatocarpus nigricans,,nan
Achillea ageratum,,"Ageraton,Agerato"
Achillea atrata,,nan
Achillea fragrantissima,,nan
Achillea lanulosa,,nan
Achillea millefolia,,Milenrama
Achillea millefolium,,"Rollike,Millefolium,Yarrow,Civanpercemi,Duizendblad,Cickafarkkoro,Biranjasif,Milenrama,Schafgarbe,Rolleka,Rojmari,Milefolio,Millefoglio,Tlalquequetzal,Millefeuille"
Achillea moschata,,"Ivaurt,Moschuskraut,Misk Civanpercemi"
Achillea nobilis,,"Noble Milfoil,Edel Duizendblad,Edelgarbe,Barbascia,Millefeuille Camphree,Millefeuille Noble,Noble Yarrow,Edelschafgarbe,Saltanatli Civanpercemi"
Achillea ptarmica,,"Hierba Estornutatoria,Nieskruid,Pyrethre Sauvage,Aksirikotu,Bottone D'Argento,Sneezewort,Wiesen Bertram"
Achillea santolina,,nan
Achillea sibirica,,Shih
Achlys triphylla,,nan
Achras sapota,,"Mamey,Tuingamu-No-Ki"
Achras zapota,,nan
Achyranthes alba,,nan
Achyranthes aspera,,"Jarongan,Santypite,Rarai,Apamarga,Feuilles La Fievre,Rabo De Gato,Chaff Tree"
Achyranthes bidentata,,"Niu Hsi,Too-Inokozuti,Soei in soei in taloen,Niu Hsi Chiu"
Achyranthes fauriei,,Hinata-Inokozuti
Achyranthes indica,,"Cadillo De Gato,Cabaioc,Rabo De Raton"
Achyranthes japonica,,"Inokozuti,Okera,nan"
Achyranthes nodiflora,,"Sajoer oedang,Kremri"
Achyranthes porphyristachya,,nan
Achyranthes rubro-fusca,,nan
Achyranthes sp,,nan
Achyrocline flaccida,,nan
Achyrocline satureoides,,nan
Acnistus aggregatus,,nan
Acnistus arborescens,,Belladonne Arborescente
Acnistus cauliflorus,,nan
Acnistus miersi,,nan
Acnistus plumieri,,nan
Acnistus ramiflorus,,nan
Acokanthera abyssinica,,Ouabain
Acokanthera longiflora,,nan
Acokanthera schimperi,,nan
Acokanthera venenata,,nan
Aconitum anthora,,"Antora,Giftheil,Sari Kaplanbogan,Aconito Saludable,Anapelo,Pale Aconite"
Aconitum balfourii,,nan
Aconitum cammerum,,Aconito De Flor Grande
Aconitum carmichaeli,,Sinatori-Kabuto
Aconitum chinense,,"Hana-Tori-Kabuto,nan"
Aconitum chinensis,,nan
Aconitum columbianum,,Monkshood
Aconitum deinorhizum,,"Char De Venus,Visha,Bish,Indian Aconite,Bischnag,Mohra,Indischer Eisenhut,Indische Monnikskap"
Aconitum ferox,,"Lang Tu,Lang Tu T'Ou,Aconito Feroz"
Aconitum fischeri,,nan
Aconitum fortunei,,nan
Aconitum grosse-dentatum,,Kawati-Busi
Aconitum heterophyllum,,"Ativisha,Atees,Vajji Turki,Atis,Atees,Indian"
Aconitum ibukiense,,Ibuki-Tori-Kabuto
Aconitum japonicum,,Torikabuto
Aconitum japonicumvar.eizanense,,Kita-Yamabusi
Aconitum japonicumvar.montanum,,Yama-Tori-Kabuto
Aconitum kusnezoffii,,nan
Aconitum laciniatum,,nan
Aconitum lycoctonum,,"Wolfs Eisenhut,Yellow Wolfsbane,Lupata,Matalobos,Kurtbogan,Aconit Tue Loup,Gele Monnikskap,Aconito Matalobo,Gelber Eisenhut"
Aconitum napellus,,"Duivelskruid,Yoshu-Tori-Kabuto,Monk'Shood,Kaplanbogan,Aconito Napello,Uva Verga,Blauer Eisenhut,Monkshood,Stormhat,Tue Loup,Aconito,European Monkshood"
Aconitum reclinatum,,Monkshood
Aconitum septentrionale,,Niu Pien
Aconitum sp,,"Wu T'Ou,Ts'Ao Wu,Mu Pieh Tzu,Ch'Uan Wu T'Ou,T'U Fu Tzu,Aconite,Herba Lobo"
Aconitum sp?,,Shih Chien Ts'Ao
Aconitum spicatum,,nan
Aconitum transsectum,,nan
Aconitum uncinatum,,"Ts'Ao Wu,Kusauzu,Aconite,Fu Tzu"
Aconitum violaceum,,nan
Aconitum volubile,,nan
Aconitum vulparia,,Monkshood
Aconitum wilsonii,,nan
Aconogonum molle,,nan
Acorus calamus,,"Sweet Flag,Shui Ch'Ang Pu,Agri Turki,Ch'Ang P'U Chiu,Jeringau,Kalmus,Calomo Aromatico,Kalmoes,Acore Vrai,Sarango,Ganoeak,Jariangau,Acorus,Calmus,Calamus,Jerangau,Vacha,Doringo,Djerango,Kalmos,Acoro Aromatico,Calamo Aromatico,Vaj,Kaliraga,Bach,Azakegeri"
Acorus calamusssp.gramineus,,Seki-Sho
Acorus calamusvar.angustatus,,Sho-Bu
Acorus gramineus,,Shih Ch'Ang Pu
Acorus spurius,,Pai Ch'Ang
Acriopsis javanica,,nan
Acriopsis sp.,,nan
Acrocomia antioquensis,,nan
Acrocomia mexicana,,nan
Acrocomia panamensis,,nan
Acrocomia quisqueyana,,"Corozo,Corosse,Corozo Criollo,Corossier"
Acrocomia sclerocarpa,,nan
Acrocomia totai,,nan
Acrocomia vinifera,,nan
Acronychia laurifolia,,nan
Acronychia odorata,,nan
Acronychia pedunculata,,nan
Acronychia resinosa,,nan
Acrostichum aureum,,nan
Actaea arguta,,Baneberry
Actaea pachypoda,,Baneberry
Actaea racemosa,,"Slangenwortel,Wanzenkraut,Black Snakeroot,Cimicaire,American Baneberry,Rattle Root,Actee A Grappes,Black Cohosh,Tahta Bitiotu,Sauco,Amerikansk Slangerod"
Actaea rubra,,Baneberry
Actaea spicata,,"Sheng Ma,Kristofotu,Hierba De San Cristobal,Barba Di Capra,Actee En Epi,Baneberry,Bane Berry,Wolfskraut"
Actinidia chinensis,,Teng Li Gen
Actinidia polygama,,Mata-Tabi
Actinidia rufa,,Mi Hou T'Ao
Actiniopteris australis,,nan
Actiniopteris dichotoma,,nan
Actinodaphne angustifolia,,Madang siantak
Actinodaphne hookeri,,nan
Actinodaphne moluccana,,Kajoe kalowai
Actinodaphne pilosa,,nan
Actinorhytis calapparia,,"Pinang sinawar,Handjawar,Jawar,nan"
Actinostemon anisandrus,,Lecheleche
Adansonia digitata,,"Baobab Agaci,Baobab,Mapou Zombi,Boab,Baobob,Arbre De Mille Ans,Apenbroodboom"
Adenanthera pavonina,,Saga
Adenia cordifolia,,Akar kail
Adenia heterophylla,,Akar saut
Adenia lobata,,nan
Adenia palmata,,nan
Adenia volkensii,,nan
Adenium hongkel,,nan
Adenium obesum,,"Desert Rose,nan"
Adenium speciosum,,nan
Adenocalymna alliaceum,,nan
Adenocalymna punctifolium,,nan
Adenophora koreana,,Tyosen-Syazi
Adenophora polymorhpa,,nan
Adenophora polymorpha,,"Hsing Yeh Sha Shen,nan"
Adenophora remotifolia,,Chi Ni
Adenophora stricta,,nan
Adenophora triphyllavar.japonica,,Turigane-Ninzin
Adenophora verticillata,,"Sha Shen,nan"
Adenosma caeruleum,,"Timba tasek,Magun jantan"
Adenostemma lavenia,,"Daun tempel daging,nan"
Adenostemma laveria,,nan
Adhatoda schimperana,,nan
Adhatoda vasica,,Vasa
Adiantum aethiopicum,,nan
Adiantum capillis-veneris,,nan
Adiantum capillus-veneris,,"Krafs Al Bir,Maidenhair,Culantrillo De Pozo"
Adiantum caudatum,,nan
Adiantum concinnum,,nan
Adiantum flabellatum,,T'Ieh Sien Ts'Ao
Adiantum lunulatum,,"Paku rambak,Paku sisek"
Adiantum monochlamys,,Shih Ch'Ang Sheng
Adiantum nigrum,,Kara Baldirikara
Adiantum pedatum,,Capillaire
Adiantum philippense,,nan
Adiantum sp,,nan
Adiantum tenerum,,nan
Adiantum trapeciforme,,Tlalquequetzal
Adiantum venustum,,nan
Adina cordifolia,,nan
Adina pilulifera,,Shui Yang Mei
Adina polycephala,,Kayu kunyit
Adina rubella,,"Shui Yang Mei,nan"
Adonis aestivalis,,"Ain Ad Deek,Feuer Roschen,Goutte De Sang,Salta Ojos,Zomer Daonis,Zakhrak"
Adonis amurensis,,"Hukuzyu-So,nan"
Adonis autumnalis,,Argemone
Adonis chrysocyathus,,nan
Adonis sp,,Pheasant'S Eye
Adonis vernalis,,"Hellebore,Black,Adonis Vernal,Ilkbahar Kanavci Otu,Duivelsoog,Ox Eye,Adonisroschen,Eliboro Falso,Adoine"
Adoxa moschatellina,,Miskotu
Aegiceras corniculatum,,nan
Aegiceras majus,,nan
Aegilops ovata,,Aegilops
Aeginetia indicavar.gracilis,,Nanban-Giseru
Aeginetia japonica,,nan
Aegiphila elata,,nan
Aegiphila martinicensis,,nan
Aegiphila salutaris,,nan
Aegle marmelos,,"Maja gedang,Marmelo,Hint Ayva Agaci,Kawista,Shul,Maja lumut,Bael Tree,Maja galepung,Maja pait,Baelbaum,Maja ingus,Vilwa,Maja batu,Maja"
Aegle sepiaria,,Kou Chu
Aegopodium podagraria,,"Goutweed,Castalda,Keci Ayagi,Geissfuss,Hierba Da San Gerado,Zevenblad,Egopode"
Aegopodium podograria,,nan
Aeolanthus canescens,,nan
Aeolanthus lamborayi,,nan
Aeolanthus pubescens,,nan
Aerva lanata,,"Roempoet oepas oepan,Oepas oepan,Katumpangan ayer"
Aerva sanguinolenta,,"Ki sambang,Gonang kasih,Sambang tjalak"
Aerva sp,,nan
Aerva tomentosa,,nan
Aeschynomene fascicularis,,Cabalpich
Aeschynomene sensitiva,,nan
Aesculus argutus,,nan
Aesculus californica,,nan
Aesculus chinensis,,"T'Ien Shih Li,nan"
Aesculus glabra,,"Buckeye,Marron Glabre,Kahle Kastanie"
Aesculus hippocastanum,,"Paarde Kastanje,Ippocastano,Chataigne De Cheval,Castogno D'India,Wilde Kastanje,Marronnier D'Inde,Buckeye,Castagno D'India,Atkestanesi,Rosskastanie,Castano De Indias,Eschilo,Castano De India,Seiyo-Toti-No-Ki,Castanheiro Da India,Horse Chestnut"
Aesculus indica,,nan
Aesculus pavia,,nan
Aesculus sp,,"Horse Chestnut,nan"
Aesculus turbinata,,"Toti-No-Ki,nan"
Aethusa conyzoides,,Kelihomandra
Aethusa cynapium,,"Petite Cigue,Kucik Baldiran,Fool'S Parsley,Perzin D'Tchin,Hundpetersilie,Fool(S Parsley,Faux Persil"
Afraegle paniculata,,nan
Aframomum granum-paradisi,,Grains Of Paradise
Aframomum melegueta,,"Hsi Sha Tou,Grains Of Paradise,Guinea Grains,Magiette"
Afzelia africana,,nan
Afzelia cuanzensis,,nan
Aganosma marginata,,nan
Agapanthus umbellatus,,nan
Agastache foeniculum,,nan
Agastache palmeri,,nan
Agastache rugosa,,nan
Agathis alba,,"Sanum,Penyum"
Agathis australis,,nan
Agathosma apiculata,,nan
Agauria salicifolia,,nan
Agave americana,,"Cocuiza,Pacpa,Agave,American Sisal,Oloi,Lu Sung Ma,Agav,Aloe,Cocui,Penca,Maguei,Piteira,Pitta,Maguey"
Agave anericana,,nan
Agave brachystachys,,nan
Agave brevispina,,Galatas
Agave cocui,,Cocui
Agave compluviata,,nan
Agave fouircroydes,,nan
Agave gracilispina,,nan
Agave intermixta,,"Galata,Maguey"
Agave kirchneriana,,nan
Agave latissima,,nan
Agave lecheguilla,,Lechuguilla
Agave lechuguilla,,nan
Agave mapisaga,,nan
Agave melliflua,,nan
Agave pes-mulae,,nan
Agave pseudotequilana,,nan
Agave quiotifera,,nan
Agave schottii,,nan
Agave sisalana,,"Pite Sisal,Pite Etrangere,Sisal,Agave,Henequen,Pite Henequen"
Agave sisalana?,,nan
Agave sobolifera,,Cocui
Agave sp,,"Maguey,Teomatl,Duba Xha"
Agave subtilis,,nan
Agave sullivani,,nan
Agave tequilana,,nan
Agave virginica,,nan
Agave weberi,,nan
Agelaea obliqua,,nan
Agelaea trinervis,,"Akar pinang,Akar pinang kutai,Basam"
Ageratum conyzoides,,"Aru batu,Wedusan,Bandotan,Rompesaraguelo,Rumput tahi ayam,Berokan"
Aglaia baillonii,,nan
Aglaia glomerata,,nan
Aglaia llanosiana,,nan
Aglaia odorata,,"Pachar china,Pachar chulam,Chulan,San Yeh Lan"
Aglaia odoratissima,,nan
Aglaia odoratissimaa,,Panchal kidang
Aglaia roxburghiana,,Priyanguka
Aglaia saltatorum,,nan
Aglaia samoensis,,nan
Aglaia sp,,nan
Aglaonema angustifolium,,Sumpuh bulan
Aglaonema marantifolium,,nan
Aglaonema oblongifolium,,Anapoer ajer
Aglaonema pictum,,"Mata bisul (head of boil),Mata hudang (prawn's eye)"
Agonandra racemosa,,nan
Agoseris villosa,,nan
Agrimonia cannabina,,Agrimony
Agrimonia eupatoria,,"Eupatoire Des Anciens,Garclive,Agrimony,Odermennig,Aprobojtorjan,Ghafath,Ackermennig,Kasikotu,Agrimonia,Erba Da Andata,Egrimony,Leverkruid"
Agrimonia odorata,,nan
Agrimonia pilosa,,Kin-Mizu-Hiki
Agrimonia viscidula,,nan
Agropyron repens,,"Pied De Poule,Grama Del Norte,Nejil,Joula,Groesrod,Ayrik,Kweek,Najm,Echte Quecke,Grama De Las Boticas,Vigne Squaw,Squaw Wein,Quack Grass,Gramigua,Squaw Wijn,Gramigna,Grama"
Agrostemma githago,,"Cockle,Karamuk,Gerzeau,Kornrade,Yeton,Corn Cockle,Gittaione,Bolderik"
Agrostis lachnantha,,nan
Agrostistachys borneensis,,"Julong julong,nan"
Ailanthus altissima,,"Ch'U,Lisan At Tair,Niwa-Urusi,Ch'Ou Ch'Uang Shu Ken,Gok Aghaji"
Ailanthus excelsa,,nan
Ailanthus fauveliana,,nan
Ailanthus glandsulosa,,Kokar Agac
Ailanthus glandsulosus,,nan
Ailanthus malabarica,,nan
Ailanthus triphysa,,"Ki pahit,Selangke"
Airosperma trichotomum,,nan
Ajuga bracteosa,,nan
Ajuga chamaepitys,,"Yer Selvisi,Pinillo,Groundpine"
Ajuga chia,,Chamaepityos
Ajuga decumbens,,Isha Nakasa
Ajuga iva,,"Iva,Chamaepitys"
Ajuga ophrydis,,nan
Ajuga reptans,,"Maya Silotu,Bugle,Bugula"
Akebia quinata,,"Akebi,T'Ung Ts'Ao Chiu,Mu T'Ung,Yen Fu Tzu,T'Ung Ts'Ao"
Akebia trifoliata,,Mituba-Akebi
Alafia perrieri,,nan
Alangium chinense,,nan
Alangium hexapetalum,,"Ramatha,Ankota"
Alangium lamarckii,,nan
Alangium salvifolium,,nan
Alangium salviifolium,,nan
Albizia anthelmintica,,nan
Albizia chinensis,,nan
Albizia ferruginea,,nan
Albizia julibrissin,,"Ho Huan,Ho Hun,Nemu-No-Ki"
Albizia lebbeck,,"Acacia,Bois Noir,Tcha-Tcha,Cirisha,Bois Savane,Cha-Cha"
Albizia lebbek,,Tekik
Albizia myriophylla,,"Akar kulit manis,Akar manis"
Albizia odoratissima,,nan
Albizia procera,,nan
Albizia saponaria,,Langir
Albuca setosa,,nan
Albuca trichophylla,,nan
Alcea rosea,,"Gul Hero,Ward Al Khatmi,Khatmah Barri,Malva Real"
Alchemilla alpina,,"Dag Aslanpencesi,Alquimila Alpina"
Alchemilla arvensis,,Ova Aslanpencesi
Alchemilla kuwuensis,,nan
Alchemilla vulgaris,,"Aslanpencesi,Pie De Leon,Frauenmantel"
Alchemilla woodii,,nan
Alchornea cordatum,,nan
Alchornea cordifolia,,nan
Alchornea latifolia,,"Pois Vache,Bois Crapaud"
Alchornea rugosa,,"Drejeg,Julong jantan,Kedung leutik"
Alchornea villosa,,"Malam petai,Rami bukit"
Alectra parasitica,,nan
Alectryon excelsum,,nan
Alepidea amatymbia,,nan
Alepidea amatymbica,,nan
Alepidia amatymbica,,nan
Aletris farinosa,,"Unicorne,Sternwurzel,Blazing Star,Sterwortel,True Unicorn,Star Grass"
Aletris spicata,,nan
Aleurites fordii,,"Tung,Jabilla Extranjera"
Aleurites moluccana,,"Cila Agaci,Kemiri,Kembiri,Shih Li,Noyer Des Indes,Derekan,Pidekan,Miri,Avellano,Buah keras"
Aleurites trisperma,,Javillo
Alexa imperatricis,,nan
Alhagi maurorum,,"Sphagnos,Dhanvayavashaka"
Alhagi persorum,,nan
Alhagi pseudalhagi,,"Hushtra Luk,A'Gul,Duralabha,nan"
Alisma gramineum,,nan
Alisma orientale,,Sazi-Omodaka
Alisma plantago,,"Tse Hsieh,Cobandudugu,Hsieh,Chi Hsieh,Shui Hsieh,Mang Yu,Ku Hsieh,Yu,Yu Sun"
Alisma plantago-aquatica,,"Alisma,Damasonium"
Alix nigra,,nan
Alkanna tinctoria,,"Havaciva,Onoquiles,nan"
Allamanda blanchetii,,nan
Allamanda cathartica,,Yellow Allamanda
Alliaria officinalis,,"Aliaria,Mostaude Di Tchin"
Alliaria petiolata,,"Hierba Del Ajo,Erva Adheira,Garlic Mustard,Lauchkraut,Herba Aux Aulx,Knoblauchsrauke,Zonder Look,Alliaria"
Alliaria wasahi,,Han Ts'Ai
Allionia incarnata,,nan
Allium ampeloprasum,,nan
Allium ascalonium,,"Hsieh,Brambang bali,Yabani Sarimsak,Bawang merah,Brambang abang,Hsieh Pai,Zechalotte,Echalotte,Astloke"
Allium bakeri,,Hsieh Pai
Allium cepa,,"Hu Ts'Ung,Oignon,Cebolla,Sogan,Basal,Cabolla,Onion,Z'Oignon,Soghan,Bawang merah,Bawang puteh,Cebola,Cebolla Macho,Onion,Red,Zwibeln,Tama-Negi,Pyaz,Bawang"
Allium cernuum,,nan
Allium chinense,,Rakkyo
Allium drummondi,,nan
Allium fistulosum,,"Ts'Ung Shih Chiu,Negi"
Allium grayi,,No-Biru
Allium japonicum,,"Chu Ko Chiu,Shan Chiu"
Allium kurrat,,nan
Allium montanum,,nan
Allium nigrum,,Garlic
Allium nipponicum,,No-Biru
Allium odorum,,nan
Allium oleraceum,,Garlic
Allium porrum,,"Poireau,Prasium,Pirasa,Kurrath,Hawar"
Allium sativum,,"Thum,Suan,Hsiao Suan,Sarimsak,Ail,Sir,Ajo,Garlic,Lai,Ail De Cuisine,Samersaq,Lasan,Cropleek,Bawang Poetih,Rosina,Bawang puteh"
Allium schoenoprasum,,"Yabansarimsagi,Kurrath Aspanya,Cive,Sedgeleek"
Allium scorodoprasum,,Ta Suan
Allium triquetrum,,nan
Allium tuberosum,,"Feng Pen,Chiu,Nira"
Allium ursinum,,"Ayisarimsagi,Ramson"
Allium victorialis,,"Lange Siegwurz,Victoriale Longue"
Allium vineale,,Cepalla Bavosa
Allium volhynicum,,nan
Allomorphia alata,,"Kedudok gajah batu,Puding hutan"
Allomorphia exigua,,"Kedudok gajah,Kedudok hutan"
Allomorphia malaccensis,,"Sendudok hutan,Kedudok gajah"
Allophylus africanus,,nan
Allophylus cominia,,"Cafe Marron,Trois Feuilles,Palo De Caja,Parida,Rompe Caldero,Trois Paroles,Tres Palabras"
Allophylus fulvinervis,,Tumbit kayu
Allophylus lastoursvillensis,,nan
Allophylus occidentalis,,"Trois Feuilles,Petit Cafe,Cafe Jaune,Trois Paroles"
Allophylus sp,,nan
Allophylus subcoriaceus,,nan
Allophylus ternatus,,nan
Allophylus timoriensis,,nan
Alniphyllum fortunei,,nan
Alniphyllum hainense,,nan
Alnus glutinosa,,"Kizilagac,Alder,Aliso"
Alnus incana,,White Alder
Alnus rubra,,"Aune Rouge,Red Alder,Rote Erle,Rode Els"
Alnus rugosa,,nan
Alnus serrulata,,Black Alder
Alnus sp,,nan
Alnus tenuifolia,,nan
Alocasia denudata,,nan
Alocasia indica,,"Kar Dard,Bira,Beureum,Sebaring"
Alocasia macrorrhiza,,"Keladi Sebaring,Birak negeri,Hai Yu,Kuan Yin Lien,Sente,Ababa"
Alocasia sp,,nan
Alocasia wenzelii,,nan
Aloe africana,,Aloes
Aloe arabica,,Sabr
Aloe arborescens,,nan
Aloe arista,,nan
Aloe barbadense,,Aloes
Aloe barbadensis,,"Aloes,L'Alois,Aloes Des Jardins,Zabida,Sarisabir,Laloi,Zabila,Sabila,Aloe"
Aloe ecklonis,,nan
Aloe ferox,,Aloes Do Cabo
Aloe latifolia,,nan
Aloe perryi,,nan
Aloe rabaiensis,,nan
Aloe saponaria,,Aloe
Aloe saponariavar.ficksburgensis,,nan
Aloe sp,,"Aziuar,Sabr,Aloes"
Aloe spicata,,Aloes
Aloe striatulavar.caesia,,nan
Aloe succotrina,,Aloes
Aloe tenuior,,nan
Aloe vera,,"Djadam arab,Lidah buaya,Zabila,Hsiang Tan,Aloe,Lu Hui,Nu Hui,Jadam,No Hui,Alwat"
Aloe zebria,,nan
Alopecurus aequalis,,nan
Alopecurus sp,,Lang Wei Ts'Ao
Aloysia lycioides,,Whitebrush
Aloysia oblanceolata,,nan
Aloysia triphylla,,"Yerba Luisa,Diapalma"
Alphitonia incana,,nan
Alphitonia moluccana,,nan
Alphitonia philippinensis,,nan
Alphitonia ponderosa,,nan
Alphitonia zizyphoides,,nan
Alpinia antillarum,,nan
Alpinia chinensis,,nan
Alpinia galanga,,"Galangal,Buyuk Galanga,Lingkoewas,Kelewas,Galiasa"
Alpinia globosa,,nan
Alpinia intermedia,,Ao-No-Kumatake-Ran
Alpinia japonica,,Hana-Myoga
Alpinia malaccensis,,nan
Alpinia officinarum,,"Liang Chiang,Kao Liang Chiang,Kucuk Galanga,Man Chiang,Galangal"
Alpinia purpurata,,nan
Alpinia pyramidata,,nan
Alpinia sp,,Galingale
Alpinia speciosa,,"Getto,Tous Maux,Boca De Dragon,De Tui Maux,Palo Santo,Jockey Club"
Alseodaphne perakensis,,nan
Alseodaphne sp,,nan
Alsodeiopsis poggei,,nan
Alsodeiopsis rowlandii,,nan
Alsophila glauca,,Paku gajah
Alsophila lurida,,Pakoe tihang
Alsophila myosuroides,,nan
Alstonia angustifolia,,"Pulai,Beberus"
Alstonia congensis,,nan
Alstonia constricta,,"Fieberbaum,Asutralian Quinine,Koortsboom"
Alstonia macrophylla,,nan
Alstonia reineckeana,,nan
Alstonia scholaris,,"Pulai,Dita,Pule,Pha Ya Sat Ta Ban,Pulai bukit,Poele,Saptachada"
Alstonia spathulata,,nan
Alstonia vitiensis,,nan
Alternanthera aurata,,nan
Alternanthera polygonoides,,nan
Alternanthera ramosissima,,Chac Mo Ak
Alternanthera repens,,nan
Alternanthera sessilis,,"Keremak,Matean,Bayem keramah,Keramah"
Alternanthera williamsii,,nan
