,TAXON,ACTIVITY,CNAME,FAMILY,GENUS,SPECIES
11,Abies sp,"Bronchitis,Gonorrhea,Inflammation,Stimulant,Bladder,Leucorrhea","Canada Spar,Schierlingstanne,Hemlockstanne,Zahnweh Gelbholz,Sapin Du Canada,Perusse",Pinaceae,Abies,sp
12,Abies spectabilis,"Asthma,Stomachic",nan,Pinaceae,Abies,spectabilis
13,Abies webbiana,"Carminative,Cough,Phthisis",nan,Pinaceae,Abies,webbiana
14,Abroma angusta,Cancer,Thian Dam,Sterculiaceae,Abroma,angusta
15,Abroma augusta,"Dysmenorrhea,Emmenagogue,Neuralgia,Tonic,Scabies,Uteritis","nan,Kapasan lawe",Sterculiaceae,Abroma,augusta
16,Abronia maritima,Placenta,nan,Nyctaginaceae,Abronia,maritima
17,Abrus cantoniensis,Hepatoma,Ji Gu Cao,Fabaceae,Abrus,cantoniensis
18,Abrus laevigatus,"Abortifacient,Cold,Hoarseness,Colic,Cough",nan,Fabaceae,Abrus,laevigatus
19,Abrus precatorius,"Abortifacient,Anodyne,Antidote,Aphrodisiac,Bilious,Bite(Snake),Bladder,Blennorrhagia,Boil,Cancer,Chest,CNS sedative,Cold,Colic,Collyrium,Conjunctivitis,Tuberculosis,Contraceptive,Convulsion,Cough,Diarrhea,Diuretic,Dysuria,Emetic,Emollient,Enteritis,Epithelioma,Expectorant,Eye,Fatal,Fatality,Febrifuge,Fever,Freckle,Gastritis,Gingivitis,Gonorrhea,Gravel,Heart,Hemostat,Hoarseness,Homicide,Hookworms,Kidney,Laxative,Loin,Malaria,Myalgia,Ophthalmia,Ordeal,Pectoral,Poison,Refrigerant,Rheumatism,Sedative,Skin,Stomach,Sweetener,Throat,Trachoma,Urogenital,Venereal,Vermifuge,Ache(Head),Fracture(Veterinary),Insomnia,Jaundice,Masticatory,Night-Blindness,Puerperium,Purgative,Sprue,Styptic","nan,To-Azuki,Graines Reglisse,Rakat,Reglisse,Hung Tou,Rosary Pea,Cain Ghe,Peonia,Hint Meyankoku,Paternoster,Ma Liao Tou,Pois Rouge,Paratella,Liane Reglisse,Weesboontje,Peonia De St Tomas,Jequerit,Gunchi",Fabaceae,Abrus,precatorius
20,Abrus prectorius,Sweetener,nan,Fabaceae,Abrus,prectorius
21,Abrus pulchellus,Colic,Daun Sambang,Fabaceae,Abrus,pulchellus
22,Abuta barbata,Poison,nan,Menispermaceae,Abuta,barbata
23,Abuta bullata,Poison,nan,Menispermaceae,Abuta,bullata
24,Abuta candollei,Poison,nan,Menispermaceae,Abuta,candollei
25,Abuta grandifolia,Poison,nan,Menispermaceae,Abuta,grandifolia
26,Abuta kulugii,Poison,nan,Menispermaceae,Abuta,kulugii
27,Abuta macrocarpa,Poison,nan,Menispermaceae,Abuta,macrocarpa
28,Abuta obovata,Poison,nan,Menispermaceae,Abuta,obovata
29,Abuta rufescens,"Poison,Sclerosis(Liver)",nan,Menispermaceae,Abuta,rufescens
30,Abuta selloana,Polyp(Bladder),Abutua,Menispermaceae,Abuta,selloana
31,Abuta wilson-brownei,Poison,nan,Menispermaceae,Abuta,wilson-brownei
32,Abutilon americanum,Tumor,nan,Malvaceae,Abutilon,americanum
33,Abutilon avicennae,"Aperient,Dysentery,Dysuria,Keratitis,Diuretic","Itibi,nan",Malvaceae,Abutilon,avicennae
34,Abutilon graveolens,Medicine,nan,Malvaceae,Abutilon,graveolens
35,Abutilon haitiense,Diarrhea,Pete Vie Moune,Malvaceae,Abutilon,haitiense
36,Abutilon indicum,"Anodyne,Colic,Tuberculosis,Cough,Demulcent,Diuretic,Dysentery,Menorrhagia,Refrigerant,Sore,Spasm,Spermatorrhea,Tonic,Ulcer,Wound,Bronchitis,Convulsion,Fever,Laxative,Rheumatism","nan,Kemband sore (Eve. expandng fl,Kembang sore (Eve. expandng fl",Malvaceae,Abutilon,indicum
37,Abutilon molle,Ache(Stomach),nan,Malvaceae,Abutilon,molle
38,Abutilon permolle,Boil,nan,Malvaceae,Abutilon,permolle
39,Abutilon trisulcatum,"Asthma,Cancer",nan,Malvaceae,Abutilon,trisulcatum
40,Acacia angustissima,Megalospleny,nan,Fabaceae,Acacia,angustissima
41,Acacia arabica,Dysentery,nan,Fabaceae,Acacia,arabica
42,Acacia aroma,"Antiseptic,Venereal",nan,Fabaceae,Acacia,aroma
43,Acacia berlandieri,Poison,Guajillo,Fabaceae,Acacia,berlandieri
44,Acacia caesia,"Bronchitis,Cough,Fistula,Pleurisy,Smallpox,Tuberculosis,Evil eye,Measles,Shampoo",nan,Fabaceae,Acacia,caesia
45,Acacia catechu,"Anodyne,Antiphlogistic,Asthma,Astringent,Bactericide,Bronchitis,Cancer,Colic,Tuberculosis,Cough,Detergent,Diarrhea,Digestive,Expectorant,Gravel,Gum,Masticatory,Mouth,Phthisis,Refrigerant,Skin,Sore,Stimulant,Stomatitis,Styptic,Throat,Tumor(Abdomen),Boil,Dysentery,Eruption,Malaria","nan,Wu Tieh Ni,Erh Ch'A,Acacia Di Cachou,Katechu Akazie,Kadaram,Acacie Au Cachou,Hai Erh Ch'A,Khair,Amaraja,Katesu,Pegu Katechu",Fabaceae,Acacia,catechu
46,Acacia cochliacantha,Bladder,nan,Fabaceae,Acacia,cochliacantha
47,Acacia concinna,"Detergent,Insecticide,Piscicide,Soap,Tumor",nan,Fabaceae,Acacia,concinna
48,Acacia constricta,"Diarrhea,Stomach",nan,Fabaceae,Acacia,constricta
49,Acacia cornigera,Bite(Bug),nan,Fabaceae,Acacia,cornigera
50,Acacia cymbispina,Bladder,nan,Fabaceae,Acacia,cymbispina
51,Acacia farnesiana,"Ache(Head),Alterative,Aphrodisiac,Arthritis,Astringent,Bite(Snake),Cancer(Stomach),Carbuncle,Cholera,Conjunctivitis,Convulsion,Delirium,Demulcent,Dysentery,Dyspepsia,Emetic,Epilepsy,Fever,Insanity,Insecticide,Mucous,Nausea,Ophthalmia,Perfume,Rabies,Repellant,Rheumatism,Rinderpest,Sore,Spasm,Stimulant,Stomachic,Tuberculosis,Tumor,Wound,Inflammation,Parturition,Skin,Sterility","nan,Esponjeira,Cuji,Kambang japun,Kembang bandira,Kembang nagasiri,Tusca",Fabaceae,Acacia,farnesiana
52,Acacia ferruginea,"Astringent,Cancer","nan,Gumarabic,Indian",Fabaceae,Acacia,ferruginea
53,Acacia georginae,Poison,nan,Fabaceae,Acacia,georginae
54,Acacia hindsii,Scorpion,nan,Fabaceae,Acacia,hindsii
55,Acacia kamerunensis,"Dentifrice,Dermatitis,Fever,Orchitis,Stomach,Enema,Piscicide",nan,Fabaceae,Acacia,kamerunensis
56,Acacia koa,Bedridden,nan,Fabaceae,Acacia,koa
57,Acacia koaia,Skin,nan,Fabaceae,Acacia,koaia
58,Acacia lutea,"Astringent,Atony,Cicatrizant,Debility,Diaphoretic,Fever,Gangrene,Gum,Senescence,Sore,Antiseptic,Deodorant,Diarrhea,Dysentery",Acacia,Fabaceae,Acacia,lutea
59,Acacia macracantha,"Cancer(Stomach),Leprosy","Cuji,nan",Fabaceae,Acacia,macracantha
60,Acacia modesta,Toothstick,nan,Fabaceae,Acacia,modesta
61,Acacia nilotica,"Cancer,Gall-Bladder,Sclerosis(Spleen),Decongestant","Babli,nan,Gumarabic",Fabaceae,Acacia,nilotica
62,Acacia pennata,"Cough,Ache(Head),Piscicide,Rheumatism,Smallpox,Fever","Rigot,Rembete,nan,Willd.",Fabaceae,Acacia,pennata
63,Acacia pennatula,Dyspepsia,nan,Fabaceae,Acacia,pennatula
64,Acacia pentagona,Dentifrice,nan,Fabaceae,Acacia,pentagona
65,Acacia pinnata,"Dentifrice,Piscicide",nan,Fabaceae,Acacia,pinnata
66,Acacia pleuripetala,Diarrhea,nan,Fabaceae,Acacia,pleuripetala
67,Acacia polyphylla,Antidote(Philodendron),nan,Fabaceae,Acacia,polyphylla
68,Acacia pseudointsia,"Ache(Head),Itch,Smallpox","Akar koepah,Kelichi",Fabaceae,Acacia,pseudointsia
69,Acacia senegal,"Demulcent,Emollient,Expectorant,Astringent,Cancer","Akasya,nan,Arap Zamki Agaci,Kare Mugilan,Gommier Blanc,Acacia",Fabaceae,Acacia,senegal
70,Acacia seyal,Intestine,nan,Fabaceae,Acacia,seyal
71,Acacia sieberana,"Acne,Astringent,Caries,Enteritis,Gastritis,Hemorrhage,Inflammation,Intestine,Ophthalmia,Orchitis,Stomach,Taenifuge,Urethritis,Urogenital,Vermifuge,Cold,Diarrhea,Emollient,Kidney",nan,Fabaceae,Acacia,sieberana
72,Acacia smallei,"Flu,Pinkeye",nan,Fabaceae,Acacia,smallei
73,Acacia sp,"Cancer,Insecticide,Soap,Sore,Whitlow","Acacia,Gum,Casha,nan",Fabaceae,Acacia,sp
74,Acacia tortuosa,"Antiseptic,Astringent,Atony,Cicatrizant,Debility,Deodorant,Diaphoretic,Diarrhea,Dysentery,Fever,Gangrene,Sore,Gum,Senescence","Acacia,Bayahonde Rouge,Carambomba",Fabaceae,Acacia,tortuosa
75,Acacia vera,Cancer,Acacia,Fabaceae,Acacia,vera
76,Acacia villosa,"Expectorant,Gargle,Sore(Throat),Tea,Throat,Tumor,Cancer",nan,Fabaceae,Acacia,villosa
77,Acaena cylindristachya,Sedative,nan,Rosaceae,Acaena,cylindristachya
78,Acaena integerrima,Poison,nan,Rosaceae,Acaena,integerrima
79,Acaena macrostemon,"Depurative,Diuretic,Tonic",nan,Rosaceae,Acaena,macrostemon
80,Acaena sanguisorbae,"Bruise,Kidney,Micturition,Stomach,Bladder,Rheumatism,Tonic,Wound",nan,Rosaceae,Acaena,sanguisorbae
81,Acaena sp,Cancer(Throat),Buzzies,Rosaceae,Acaena,sp
82,Acaena splendens,Cancer(Liver),Cepa Caballo,Rosaceae,Acaena,splendens
83,Acalypha acrdiophylla,Sore,nan,Euphorbiaceae,Acalypha,acrdiophylla
84,Acalypha adenostachya,"Cancer,Wound",nan,Euphorbiaceae,Acalypha,adenostachya
85,Acalypha alopecuroides,"Asthma,Bruise,Carminative,Diarrhea,Dyspepsia,Sedative,Vulnerary,Anodyne,Cancer,Diuretic,Inflammation,Sprain","Degonfle,Derriere Confle,Rabo De Zorra,Hierba Del Cancer,Petit Mouton,nan,Bonda Pe,Petit Pompon",Euphorbiaceae,Acalypha,alopecuroides
86,Acalypha australis,"Alexiteric,Diarrhea,Dysentery,Eczema,Enteritis,Hemorrhage,Nausea,Fever,Hemostat,Refrigerant,Wound",nan,Euphorbiaceae,Acalypha,australis
87,Acalypha cardiophylla,Ache(Head),nan,Euphorbiaceae,Acalypha,cardiophylla
88,Acalypha chamaedrifolia,Fungoid,nan,Euphorbiaceae,Acalypha,chamaedrifolia
89,Acalypha evrardii,Diuretic,nan,Euphorbiaceae,Acalypha,evrardii
90,Acalypha fruticosa,"Alterative,Cholera,Dyspepsia,Stomachic",nan,Euphorbiaceae,Acalypha,fruticosa
91,Acalypha hederacea,Cancer,Yerba De Cancer,Euphorbiaceae,Acalypha,hederacea
92,Acalypha hispida,"Asthma,Diuretic,Expectorant,Gonorrhea,Hemoptysis,Laxative,Sore,Leprosy",Ekur kuching (cat's tail),Euphorbiaceae,Acalypha,hispida
93,Acalypha hypogaea,Cancer,Yerba De Cancer,Euphorbiaceae,Acalypha,hypogaea
94,Acalypha indica,"Constipation,Croup,Cyanogenetic,Emetic,Purgative,Ringworm,Irritant,Tumor","nan,Lelatang",Euphorbiaceae,Acalypha,indica
95,Acalypha langiana,Cancer,nan,Euphorbiaceae,Acalypha,langiana
96,Acalypha leptopoda,"Shampoo,Skin,Wound",nan,Euphorbiaceae,Acalypha,leptopoda
97,Acalypha lindheimeri,Cancer,"Yerba Del Cancer,nan",Euphorbiaceae,Acalypha,lindheimeri
98,Acalypha novo-guineensis,"Bruise,Eye,Swelling,Wound",nan,Euphorbiaceae,Acalypha,novo-guineensis
99,Acalypha phleoides,"Cancer,Duodenum,Internulcer,Odontitis,Sore,Stomach,Gingivitis","nan,Yerba Del Cancer",Euphorbiaceae,Acalypha,phleoides
100,Acalypha septemloba,Cancer,Yerba Del Cancer,Euphorbiaceae,Acalypha,septemloba
101,Acalypha siamensis,"Bowel,Fever,Renosis",Teh hutan,Euphorbiaceae,Acalypha,siamensis
102,Acalypha sp,Bite(Snake),nan,Euphorbiaceae,Acalypha,sp
103,Acalypha trukensis,Eye,nan,Euphorbiaceae,Acalypha,trukensis
104,Acalypha wilkesiana,"Ache(Head),Bactericide,Cold,Swelling,Testicle",nan,Euphorbiaceae,Acalypha,wilkesiana
105,Acampe wightiana,"Rheumatism,Tonic",nan,Orchidaceae,Acampe,wightiana
106,Acanthocereus pitajaya,Diuretic,nan,Cactaceae,Acanthocereus,pitajaya
107,Acanthopanax gracilistylus,"Anodyne,Arthritis,Carminative,Convulsion,Dropsy,Eczema,Itch,Rheumatism,Scrotum,Sore,Ache(Back),Beri-Beri,Dysuria",nan,Araliaceae,Acanthopanax,gracilistylus
108,Acanthopanax ricinifolium,"Infection,Sore,Insecticide,Skin",Tz'U Ch'Iu Shu,Araliaceae,Acanthopanax,ricinifolium
109,Acanthopanax spinosum,"Analgesic,Bones,Cold,Gastralgia,Impotency,Ligament,Rheumatism,Syphilis(3),Tonic,Debility","nan,Wu Chia P'I Chiu,Wu Chia,Wu Chia P'I",Araliaceae,Acanthopanax,spinosum
110,Acanthospermum australe,"Foot,Sore,Antifertility",nan,Asteraceae,Acanthospermum,australe
111,Acanthospermum hispidum,"Diuretic,Sudorific",nan,Asteraceae,Acanthospermum,hispidum
112,Acanthospermum humile,"Anodyne,Arthritis,Massage,Rheumatism","Mala Mujer,Feuilles Hareng,Dessalines,L'Indigene",Asteraceae,Acanthospermum,humile
113,Acanthus ebracteatus,"Alopecia,Insanity,Shingles",Daruju,Acanthaceae,Acanthus,ebracteatus
114,Acanthus ilicifolius,"Anodyne,Gas,Hepatogegaly,Lymphadenitis,Neophasia,Rheumatism,Splenomegaly,Neuralgia","Daruju,Lao Shu Le,nan",Acanthaceae,Acanthus,ilicifolius
115,Acanthus mollis,"Antidiarrheic,Astringent,Depurative,Emollient,Expectorant,Hemostatic,Nervine,Sclerosis(Spleen),Stimulant,Stomachic,Tonic,Vulnerary","Ha-Azami,Barenklau,Hierba Carnera,Acanto,Branc Ursine,Ayikulagi,Branche Ursine,Brancorsina,Bereklauw,Bearfoot,Jeruju",Acanthaceae,Acanthus,mollis
116,Acanthus sp,"Burn,Emollient,Pustule,Sclerosis(Liver),Sclerosis(Spleen),Tumor,Vaginitis,Wart,Cyst","Acanthus,nan,Branca Ursina,Aakcheroua",Acanthaceae,Acanthus,sp
117,Acer macrophyllum,Hair-Oil,nan,Aceraceae,Acer,macrophyllum
118,Acer negundo,Sweetener,Isfendan,Aceraceae,Acer,negundo
119,Acer nikoense,Collyrium,Megusuri-No-Ki,Aceraceae,Acer,nikoense
120,Acer pensylvanicum,"Cancer,Eruption","Cancer Bush,Polecat Tree",Aceraceae,Acer,pensylvanicum
121,Acer pseudo-platanus,"Astringent,Tonic","Yalanci Ok Agac,Moscon",Aceraceae,Acer,pseudo-platanus
122,Acer pycnanthum,Collyrium,Hana-No-Ki,Aceraceae,Acer,pycnanthum
123,Acer rubrum,"Abrasion,Astringent,Collyrium,Eye,Poison,Skin,Tonic,Vermifuge","nan,Kirmizi Isfendan Agaci,Red Maple",Aceraceae,Acer,rubrum
124,Acer saccharinum,Astringent,Tath Isfendan Agaci,Aceraceae,Acer,saccharinum
125,Acer spicatum,"Apertif,Eye,Medicine,Vermifuge",nan,Aceraceae,Acer,spicatum
126,Aceratium insulare,Wound,nan,Elaeocarpaceae,Aceratium,insulare
127,Achatocarpus nigricans,Poison,nan,Achatocarpaceae,Achatocarpus,nigricans
128,Achillea ageratum,"Tumor,Wound","Ageraton,Agerato",Asteraceae,Achillea,ageratum
129,Achillea atrata,"Vulnerary,Tonic",nan,Asteraceae,Achillea,atrata
130,Achillea fragrantissima,Tumor,nan,Asteraceae,Achillea,fragrantissima
131,Achillea lanulosa,"Anesthetic,Itch,Measles,Sore,Suppurative,Swelling,Ache(Tooth),Ache(Ear)",nan,Asteraceae,Achillea,lanulosa
132,Achillea millefolia,Vulnerary,Milenrama,Asteraceae,Achillea,millefolia
133,Achillea millefolium,"Abcess,Ache(Back),Ache(Ear),Ache(Head),Ache(Leg),Apertif,Astringent,Atony,Bite(Snake),Bladder,Bruise,Cancer,Carminative,Cathartic,Cold,Colic,Tuberculosis,Cyanogenetic,Deodorant,Depurative,Diaphoretic,Emmenagogue,Enteritis,Enterorrhagia,Epistaxis,Expectorant,Febrifuge,Fever,Hematochezia,Hematuria,Hemorrhage,Hemostat,Litholytic,Nervine,Poultice,Puerperium,Rash,Rheumatism,Skin,Sore,Sore(Throat),Spasm,Stimulant,Stomach,Sudorific,Swelling,Tonic,Ache(Tooth),Wound,Antiseptic,Condyloma,Cough,Dyspepsia,Eye,Felon,Gastritis,Hematemesis,Hypochondria,Kidney,Medicine,Piles,Scurvy,Vulnerary","nan,Rollike,Millefolium,Yarrow,Civanpercemi,Duizendblad,Cickafarkkoro,Biranjasif,Milenrama,Schafgarbe,Rolleka,Rojmari,Milefolio,Millefoglio,Tlalquequetzal,Millefeuille",Asteraceae,Achillea,millefolium
134,Achillea moschata,"Liqueur,Sternutatory,Vulnerary,Sudorific","Ivaurt,nan,Moschuskraut,Misk Civanpercemi",Asteraceae,Achillea,moschata
135,Achillea nobilis,"Astringent,Carminative,Depurative,Emmenagogue,Expectorant,Fever,Hemorrhage,Hemostat,Scurvy,Spasm,Stimulant,Stomachic,Sudorific,Vulnerary,Litholytic,Tonic","Noble Milfoil,Edel Duizendblad,Edelgarbe,Barbascia,Millefeuille Camphree,Millefeuille Noble,Noble Yarrow,nan,Edelschafgarbe,Saltanatli Civanpercemi",Asteraceae,Achillea,nobilis
136,Achillea ptarmica,"Ache(Head),Astringent,Sialogogue,Tonic,Anodyne,Hemostat,Sternutatory","Hierba Estornutatoria,Nieskruid,Pyrethre Sauvage,Aksirikotu,Bottone D'Argento,Sneezewort,Wiesen Bertram",Asteraceae,Achillea,ptarmica
137,Achillea santolina,"Repellant(Insect),Tonic,Carminative,Chest",nan,Asteraceae,Achillea,santolina
138,Achillea sibirica,"Abdomen,Abscess,Amenorrhea,Antiseptic,Atrophy,Bite(Snake),Carminative,Dyspepsia,Eye,Hunger,Inflammation,Internulcer,Muscle,Respiration,Skin,Spasm,Stomachic,Tonic,Trauma","nan,Shih",Asteraceae,Achillea,sibirica
139,Achlys triphylla,Repellant(Insect),nan,Berberidaceae,Achlys,triphylla
140,Achras sapota,"Amenorrhea,Cold,Cough,Diarrhea,Fever,Flu,Masticatory,Oliguria,Wart","nan,Mamey,Tuingamu-No-Ki",Sapotaceae,Achras,sapota
141,Achras zapota,Diuretic,nan,Sapotaceae,Achras,zapota
142,Achyranthes alba,Uterus,nan,Amaranthaceae,Achyranthes,alba
143,Achyranthes aspera,"Atrophy,Bite(Bug),Bite(Snake),Bite(Tiger),Cachexia,Cataract,Circumcision,Convulsion,Dentifrice,Diuretic,Dropsy,Dysentery,Emetic,Enteritis,Hematemesis,Hematochezia,Labor,Medicine,Ophthalmia,Rabies,Renitis,Rheumatism,Scabies,Sore,Stomatitis,Syphilis,Tetanus,Ache(Tooth),Tumor(Abdomen),Astringent,Blindness(Veterinary),Cough,Emaciation,Fever,Pain,Scorpion,Styptic,Tumor,Wound","nan,Jarongan,Santypite,Rarai,Apamarga,Feuilles La Fievre,Rabo De Gato,Chaff Tree",Amaranthaceae,Achyranthes,aspera
144,Achyranthes bidentata,"Ache(Head),Ague,Amenorrhea,Anodyne,Antiperspirant,Aphthae,Diuretic,Emmenagogue,Fever,Hemolytic,Impotency,Labor,Lumbago,Malaria,Medicine,Pain,Puerperium,Rheumatism,Skin,Thirst,Tonic,Ache(Tooth),Tumor,Urogenital,Vermifuge,Anxiety,Coagulant,Epistaxis,Hypertension","nan,Niu Hsi,Too-Inokozuti,Soei in soei in taloen,Niu Hsi Chiu",Amaranthaceae,Achyranthes,bidentata
145,Achyranthes fauriei,"Diuretic,Anodyne",Hinata-Inokozuti,Amaranthaceae,Achyranthes,fauriei
146,Achyranthes indica,"Astringent,Expectorant,Fever,Flu,Marasmus,Diuretic,Venereal","Cadillo De Gato,nan,Cabaioc,Rabo De Raton",Amaranthaceae,Achyranthes,indica
147,Achyranthes japonica,"Anodyne,Balsamic,Diuretic,Emmenagogue,Stomachic,Tonic,Anydrotic","Inokozuti,Okera,nan",Amaranthaceae,Achyranthes,japonica
148,Achyranthes nodiflora,"Gray hair,Ache(Head),Fever","Sajoer oedang,Kremri",Amaranthaceae,Achyranthes,nodiflora
149,Achyranthes porphyristachya,Tumor,nan,Amaranthaceae,Achyranthes,porphyristachya
150,Achyranthes rubro-fusca,Tumor,nan,Amaranthaceae,Achyranthes,rubro-fusca
151,Achyranthes sp,"Anodyne,Loin",nan,Amaranthaceae,Achyranthes,sp
152,Achyrocline flaccida,"Excitant,Fever,Spasm,Tonic,Vermifuge",nan,Asteraceae,Achyrocline,flaccida
153,Achyrocline satureoides,Carminative,nan,Asteraceae,Achyrocline,satureoides
154,Acnistus aggregatus,Cancer(Breast),nan,Solanaceae,Acnistus,aggregatus
155,Acnistus arborescens,"Cancer,Fever,Migraine,Mumps,Neuralgia,Cold","nan,Belladonne Arborescente",Solanaceae,Acnistus,arborescens
156,Acnistus cauliflorus,Cancer,nan,Solanaceae,Acnistus,cauliflorus
157,Acnistus miersi,Cancer,nan,Solanaceae,Acnistus,miersi
158,Acnistus plumieri,Cancer,nan,Solanaceae,Acnistus,plumieri
159,Acnistus ramiflorus,Cancer,nan,Solanaceae,Acnistus,ramiflorus
160,Acokanthera abyssinica,"Cardiac,Poison(Arrow),Poison","nan,Ouabain",Apocynaceae,Acokanthera,abyssinica
161,Acokanthera longiflora,Poison(Arrow),nan,Apocynaceae,Acokanthera,longiflora
162,Acokanthera schimperi,Poison(Arrow),nan,Apocynaceae,Acokanthera,schimperi
163,Acokanthera venenata,"Poison,Cardiac",nan,Apocynaceae,Acokanthera,venenata
164,Aconitum anthora,"Antidote,Diuretic,Fever,Poison,Sudorific,Vermifuge,Cancer","nan,Antora,Giftheil,Sari Kaplanbogan,Aconito Saludable,Anapelo,Pale Aconite",Ranunculaceae,Aconitum,anthora
165,Aconitum balfourii,Poison,nan,Ranunculaceae,Aconitum,balfourii
166,Aconitum cammerum,Cancer,Aconito De Flor Grande,Ranunculaceae,Aconitum,cammerum
167,Aconitum carmichaeli,"Ache(Stomach),Anorexia,Aperient,Arthritis,Chest,Cold,Edema,Nephritis,Oliguria,Pain,Poison,Rheumatism,Anodyne,Diuretic,Nausea","nan,Sinatori-Kabuto",Ranunculaceae,Aconitum,carmichaeli
168,Aconitum chinense,"Anodyne,Antispasmodic,Cancer,Sciatica,Nephritis","Hana-Tori-Kabuto,nan",Ranunculaceae,Aconitum,chinense
169,Aconitum chinensis,"Anodyne,Chill,Paraplegia,Spasm,Numbness,Poison,Sciatica",nan,Ranunculaceae,Aconitum,chinensis
170,Aconitum columbianum,"Neuralgia,Poison,Sciatica,Ache(Tooth)","nan,Monkshood",Ranunculaceae,Aconitum,columbianum
171,Aconitum deinorhizum,"Anodyne,Antiphlogistic,Diuretic,Narcotic,Sudorific,Malaria,Sedative,Poison","Char De Venus,Visha,Bish,Indian Aconite,Bischnag,Mohra,Indischer Eisenhut,Indische Monnikskap",Ranunculaceae,Aconitum,deinorhizum
172,Aconitum ferox,"Cough,Poison,Sedative,Cancer,Neuralgia,Rheumatism","Lang Tu,nan,Lang Tu T'Ou,Aconito Feroz",Ranunculaceae,Aconitum,ferox
173,Aconitum fischeri,Cancer(Uterus),nan,Ranunculaceae,Aconitum,fischeri
174,Aconitum fortunei,"Bronchitis,Bruise,Dislocation,Fracture,Poison",nan,Ranunculaceae,Aconitum,fortunei
175,Aconitum grosse-dentatum,"Antispasmodic,Anodyne",Kawati-Busi,Ranunculaceae,Aconitum,grosse-dentatum
176,Aconitum heterophyllum,"Aphrodisiac,Astringent,Cough,Diarrhea,Dyspepsia,Enteritis,Fever,Malaria,Stomach,Tonic,Tumor(Abdomen),Dysentery,Poison","Ativisha,Atees,nan,Vajji Turki,Atis,Atees,Indian",Ranunculaceae,Aconitum,heterophyllum
177,Aconitum ibukiense,"Anodyne,Antispasmodic",Ibuki-Tori-Kabuto,Ranunculaceae,Aconitum,ibukiense
178,Aconitum japonicum,"Cancer,Poison,Tumor","nan,Torikabuto",Ranunculaceae,Aconitum,japonicum
179,Aconitum japonicumvar.eizanense,"Anodyne,Antispasmodic",Kita-Yamabusi,Ranunculaceae,Aconitum,japonicum
